.structDeathQuoteEntry 0,CharacterID,DeathQuotePointer
SigurdDeathQuote,Sigurd,dialogueDeathQuoteGen1PlayerSigurd
NaoiseDeathQuote,Naoise,dialogueDeathQuoteGen1PlayerNaoise
AlecDeathQuote,Alec,dialogueDeathQuoteGen1PlayerAlec
ArdenDeathQuote,Arden,dialogueDeathQuoteGen1PlayerArden
FinnDeathQuote,Finn,dialogueDeathQuoteGen1PlayerFinn
QuanDeathQuote,Quan,dialogueDeathQuoteGen1PlayerQuan
MidirDeathQuote,Midir,dialogueDeathQuoteGen1PlayerMidir
LewynDeathQuote,Lewyn,dialogueDeathQuoteGen1PlayerLewyn
ChulainnDeathQuote,Chulainn,dialogueDeathQuoteGen1PlayerChulainn
AzelleDeathQuote,Azelle,dialogueDeathQuoteGen1PlayerAzelle
JamkeDeathQuote,Jamke,dialogueDeathQuoteGen1PlayerJamke
ClaudDeathQuote,Claud,dialogueDeathQuoteGen1PlayerClaud
BeowulfDeathQuote,Beowulf,dialogueDeathQuoteGen1PlayerBeowulf
LexDeathQuote,Lex,dialogueDeathQuoteGen1PlayerLex
DewDeathQuote,Dew,dialogueDeathQuoteGen1PlayerDew
DeirdreDeathQuote,Deirdre,dialogueDeathQuoteGen1PlayerDeirdre
EthlynDeathQuote,Ethlyn,dialogueDeathQuoteGen1PlayerEthlyn
LachesisDeathQuote,Lachesis,dialogueDeathQuoteGen1PlayerLachesis
AyraDeathQuote,Ayra,dialogueDeathQuoteGen1PlayerAyra
ErinysDeathQuote,Erinys,dialogueDeathQuoteGen1PlayerErinys
TailtiuDeathQuote,Tailtiu,dialogueDeathQuoteGen1PlayerTailtiu
SilviaDeathQuote,Silvia,dialogueDeathQuoteGen1PlayerSilvia
EdainDeathQuote,Edain,dialogueDeathQuoteGen1PlayerEdain
BrigidDeathQuote,Brigid,dialogueDeathQuoteGen1PlayerBrigid
Unknown1DeathQuote,$027F,dialogueDeathQuoteGen2PlayerSeliph
Unknown2DeathQuote,$027F,dialogueDeathQuoteGen2PlayerSeliph
Unknown3DeathQuote,$027F,dialogueDeathQuoteGen2PlayerSeliph
