.structDeathQuoteEntry 0,CharacterID,DeathQuotePointer
DiMaggioDeathQuote,DiMaggio,dialogueDeathQuoteGen1EnemyNPCDiMaggio
GerrardDeathQuote,Gerrard,dialogueDeathQuoteGen1EnemyNPCGerrard
CimbaethDeathQuote,Cimbaeth,dialogueDeathQuoteGen1EnemyNPCCimbaeth
MunnirDeathQuote,Munnir,dialogueDeathQuoteGen1EnemyNPCMunnir
SandimaDeathQuote,Sandima,dialogueDeathQuoteGen1EnemyNPCSandima
AyraDeathQuote,Ayra,dialogueDeathQuoteGen1EnemyNPCAyra
ElliotCh01DeathQuote,ElliotCh01,dialogueDeathQuoteGen1EnemyNPCElliotCh01
JamkeDeathQuote,Jamke,dialogueDeathQuoteGen1EnemyNPCJamke
ElliotCh02DeathQuote,ElliotCh02,dialogueDeathQuoteGen1EnemyNPCElliotCh02
PhilipDeathQuote,Philip,dialogueDeathQuoteGen1EnemyNPCPhilip
BordeauxDeathQuote,Bordeaux,dialogueDeathQuoteGen1EnemyNPCBordeaux
MacBethDeathQuote,MacBeth,dialogueDeathQuoteGen1EnemyNPCMacBeth
WaltzDeathQuote,Waltz,dialogueDeathQuoteGen1EnemyNPCWaltz
ClementDeathQuote,Clement,dialogueDeathQuoteGen1EnemyNPCClement
ErinysDeathQuote,Erinys,dialogueDeathQuoteGen1EnemyNPCErinys
ZaneDeathQuote,Zane,dialogueDeathQuoteGen1EnemyNPCZane
BeowulfDeathQuote,Beowulf,dialogueDeathQuoteGen1EnemyNPCBeowulf
ChagallCh02DeathQuote,ChagallCh02,dialogueDeathQuoteGen1EnemyNPCChagallCh02
JacobiDeathQuote,Jacobi,dialogueDeathQuoteGen1EnemyNPCJacobi
EldiganCh03DeathQuote,EldiganCh03,dialogueDeathQuoteGen1EnemyNPCEldiganCh03
PapilioDeathQuote,Papilio,dialogueDeathQuoteGen1EnemyNPCPapilio
ChagallCh03DeathQuote,ChagallCh03,dialogueDeathQuoteGen1EnemyNPCChagallCh03
PizareDeathQuote,Pizare,dialogueDeathQuoteGen1EnemyNPCPizare
DuvallDeathQuote,Duvall,dialogueDeathQuoteGen1EnemyNPCDuvall
CuvuliDeathQuote,Cuvuli,dialogueDeathQuoteGen1EnemyNPCCuvuli
DithorbaDeathQuote,Dithorba,dialogueDeathQuoteGen1EnemyNPCDithorba
MyosDeathQuote,Myos,dialogueDeathQuoteGen1EnemyNPCMyos
AnnandDeathQuote,Annand,dialogueDeathQuoteGen1EnemyNPCAnnand
PamelaDeathQuote,Pamela,dialogueDeathQuoteGen1EnemyNPCPamela
DonovanDeathQuote,Donovan,dialogueDeathQuoteGen1EnemyNPCDonovan
DaccarDeathQuote,Daccar,dialogueDeathQuoteGen1EnemyNPCDaccar
LamiaDeathQuote,Lamia,dialogueDeathQuoteGen1EnemyNPCLamia
ByronDeathQuote,Byron,dialogueDeathQuoteGen1EnemyNPCByron
SlayderDeathQuote,Slayder,dialogueDeathQuoteGen1EnemyNPCSlayder
AndreyCh05DeathQuote,AndreyCh05,dialogueDeathQuoteGen1EnemyNPCAndreyCh05
LombardCh05DeathQuote,LombardCh05,dialogueDeathQuoteGen1EnemyNPCLombardCh05
VajaDeathQuote,Vaja,dialogueDeathQuoteGen1EnemyNPCVaja
MagornDeathQuote,Magorn,dialogueDeathQuoteGen1EnemyNPCMagorn
ReptorCh05DeathQuote,ReptorCh05,dialogueDeathQuoteGen1EnemyNPCReptorCh05
EthlynDeathQuote,Ethlyn,dialogueDeathQuoteGen1EnemyNPCEthlyn
QuanDeathQuote,Quan,dialogueDeathQuoteGen1EnemyNPCQuan
