.word 0,Pointer
Ch03_Agusti,<>aChapter03AgustiCastle
Ch03_Sylvale,<>aChapter03SylvaleCastle
Ch03_Madino,<>aChapter03MadinoCastle
Ch03_Orgahil,<>aChapter03OrgahilCastle
Ch03_Village1,<>aChapter03Village1
Ch03_Village2,<>aChapter03Village2
Ch03_VillageWingclipper,<>aChapter03VillageWingclipper
Ch03_Village3,<>aChapter03Village3
Ch03_VillageStrength,<>aChapter03VillageStrength
Ch03_Village4,<>aChapter03Village4
Ch03_VillageDefense,<>aChapter03VillageDefense
Ch03_VillageRestore,<>aChapter03VillageRestore
